recordid,address,house_number,street,zip_original,cb_original,site,species,diameter,status,wires,sidewalk_condition,support_structure,borough,x,y,longitude,latitude,cb_new,zip_new,censustract_2010,censusblock_2010,nta_2010,segmentid,spc_common,spc_latin,location
365092,163-011 27 AV,163-011,27 AV,11358,407,Across,ACPL,16,Good,Yes,Good,None,Queens,1039308.665,220794.4424,-73.801217,40.772535,407,11358,1059,4009,QN51,114085,MAPLE NORWAY,ACER PLATANOIDES,(40.772535 -73.801217)
351094,219-006 130 DR,219-006,130 DR,11413,413,Across,PYCA,3,Good,None,Good,None,Queens,1054134.517,188387.5778,-73.748027,40.683481,413,11413,626,3006,QN66,63494,PEAR CALLERY,PYRUS CALLERYANA,(40.683481 -73.748027)
435450,79-004 UNION TPKE,79-004,UNION TPKE,11004,413,Across/Side,PYCA,7,Excellent,None,Good,None,Queens,1042770.58,204121.7652,-73.788863,40.72675,0,0,Unknown,Unknown,Unknown,0,PEAR CALLERY,PYRUS CALLERYANA,(40.72675 -73.788863)
69906,999 BX AND PELHAM N,999,BX AND PELHAM N,10469,111,Front,QURU,17,Good,None,Good,None,Bronx,1,1,1,1,211,10469,324,1005,BX07,193964,OAK NORTHERN RED,QUERCUS RUBRA,(1 1)
152463,50 VERNON AV,50,VERNON AV,11206,203,Adjacent,ACPL,17,Good,None,Raised,None,Brooklyn,998085.1823,192312.2177,-73.950108,40.694519,303,11206,253,1001,BK75,31020,MAPLE NORWAY,ACER PLATANOIDES,(40.694519 -73.950108)
168396,250 AMHERST ST,250,AMHERST ST,11235,215,Front,GLTR,9,Excellent,None,Good,None,Brooklyn,997681.9066,149044.4835,-73.951649,40.575758,315,11235,616,1013,BK17,163047,HONEYLOCUST,GLEDITSIA TRIACANTHOS,(40.575758 -73.951649)
438575,9-002 SEAGIRT BLVD,9-002,SEAGIRT BLVD,11691,414,Median,GLTR,5,Good,None,Good,None,Queens,1055291.614,156688.4937,-73.744189,40.596465,414,11691,101001,3000,QN15,118047,HONEYLOCUST,GLEDITSIA TRIACANTHOS,(40.596465 -73.744189)
393064,148-004 56 RD,148-004,56 RD,11355,407,Across,QURU,3,Good,None,Good,Stakes / Wires,Queens,1034354.525,210835.2651,-73.819178,40.745229,407,11355,837,3000,QN62,132414,OAK NORTHERN RED,QUERCUS RUBRA,(40.745229 -73.819178)
265644,122 82 AV,122,82 AV,11415,409,Side,QUPA,26,Poor,None,Good,None,Queens,1032396.02,199352.3249,-73.826328,40.713722,409,11415,773,2004,QN60,56105,OAK PIN,QUERCUS PALUSTRIS,(40.713722 -73.826328)
82086,1100 VIRGINIA AV,1100,VIRGINIA AV,10472,109,Front,ACPL,14,Good,None,Good,None,Bronx,1023098.665,241174.8101,-73.859623,40.828559,209,10472,4001,1001,BX55,86277,MAPLE NORWAY,ACER PLATANOIDES,(40.828559 -73.859623)
365476,151-057 27 AV,151-057,27 AV,11354,407,Front,ACPL,15,Good,None,Good,None,Queens,1036533.139,221077.6641,-73.811236,40.773329,407,11354,1059,2005,QN51,92890,MAPLE NORWAY,ACER PLATANOIDES,(40.773329 -73.811236)
227418,159-019 65 AV,159-019,65 AV,11365,408,Front,ZESE,3,Good,Yes,Good,Stakes / Wires,Queens,1037089.499,207825.4847,-73.809331,40.736952,408,11365,122701,1005,QN38,90678,ZELKOVA JAPANESE,ZELKOVA SERRATA,(40.736952 -73.809331)
382654,19-079 81 ST,19-079,81 ST,11370,480,Front,PS,0,Planting Space,None,Good,None,Queens,1014958.88,220320.17,-73.889131,40.771351,480,11370,331,1000,QN98,77076,PLANTING SITE,PLANTING SITE,(40.771351 -73.889131)
227319,78-078 85 ST,78-078,85 ST,11385,405,Front,ACPL,4,Good,Yes,NA,None,Queens,1021994.564,195734.2057,-73.863868,40.703841,405,11385,635,1005,QN19,52366,MAPLE NORWAY,ACER PLATANOIDES,(40.703841 -73.863868)
442102,87 WESCOTT BLVD,87,WESCOTT BLVD,10314,501,Side,QUPA,32,Good,None,Good,None,Staten Island,1,1,1,1,501,10314,151,4001,SI07,9595,OAK PIN,QUERCUS PALUSTRIS,(1 1)
244695,1702 GEORGE ST,1702,GEORGE ST,11385,405,Front,ACPL,16,Good,None,Good,None,Queens,1011256.664,193611.3793,-73.902605,40.698054,405,11385,555,1002,QN20,48692,MAPLE NORWAY,ACER PLATANOIDES,(40.698054 -73.902605)
30626,221 DYCKMAN ST,221,DYCKMAN ST,10034,112,Assigned,PYCA,7,Excellent,None,Good,None,Manhattan,1004334.48,254651.104,-73.927386,40.86561,112,10034,295,2001,MN01,72607,PEAR CALLERY,PYRUS CALLERYANA,(40.86561 -73.927386)
146420,1101 E 19 ST,1101,E 19 ST,11230,214,Front,PLAC,16,Good,None,Good,None,Brooklyn,996121.7662,166505.2348,-73.957234,40.623687,314,11230,762,2002,BK43,27299,LONDON PLANETREE,PLATANUS ACERIFOLIA,(40.623687 -73.957234)
297619,166-022 21 RD,166-022,21 RD,11357,407,Front,ACSA2,13,Good,None,Good,None,Queens,1040429.34,222727.0044,-73.797155,40.777832,407,11357,1017,1008,QN47,98649,MAPLE SUGAR,ACER SACCHARUM,(40.777832 -73.797155)
263281,85-040 87 ST,85-040,87 ST,11421,409,Front,ACPL,17,Good,Yes,Raised,None,Queens,1023689.812,192266.1497,-73.857774,40.694315,409,11421,12,1003,QN53,52534,MAPLE NORWAY,ACER PLATANOIDES,(40.694315 -73.857774)
443967,444 GRAND VIEW AV,444,GRAND VIEW AV,10303,501,Front,ACPL,13,Good,Yes,Good,None,Staten Island,938349.6272,168595.7501,-74.165362,40.629314,501,10303,31901,2004,SI12,5476,MAPLE NORWAY,ACER PLATANOIDES,(40.629314 -74.165362)
141920,2481 Avenue Y,2481,Avenue Y,11235,215,Front,ACSA2,18,Good,None,Good,None,Brooklyn,999481.3409,154649.4544,-73.945158,40.59114,315,11235,59401,3000,BK17,26400,MAPLE SUGAR,ACER SACCHARUM,(40.59114 -73.945158)
323402,44-003 56 RD,44-003,56 RD,11378,402,Adjacent,QUPA,10,Good,Yes,Good,None,Queens,1005037.239,204428.2232,-73.925001,40.72776,402,11378,205,1024,QN31,66455,OAK PIN,QUERCUS PALUSTRIS,(40.72776 -73.925001)
120343,1551 E 28 ST,1551,E 28 ST,11229,215,Front,ACPL,5,Good,None,Good,None,Brooklyn,999164.2418,162709.5106,-73.946282,40.613264,315,11229,642,1001,BK44,163533,MAPLE NORWAY,ACER PLATANOIDES,(40.613264 -73.946282)
44397,1385 MADISON AV,1385,MADISON AV,10029,111,Front,GLTR,6,Good,None,Good,None,Manhattan,996974.3264,226144.6636,-73.95405,40.787382,111,10029,16002,1000,MN33,37714,HONEYLOCUST,GLEDITSIA TRIACANTHOS,(40.787382 -73.95405)
